artist_name,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
judee sill,soldier of the heart,0.483,0.74,5,-7.891,0,0.0403,0.0958,0.0,0.118,0.671,101.672,audio_features,79O22nZDxriY2fxhz1lT5X,spotify:track:79O22nZDxriY2fxhz1lT5X,https://api.spotify.com/v1/tracks/79O22nZDxriY2fxhz1lT5X,https://api.spotify.com/v1/audio-analysis/79O22nZDxriY2fxhz1lT5X,213773,4
loon,this aint funny,0.691,0.708,11,-5.114,1,0.332,0.108,0.0,0.0456,0.834,98.712,audio_features,06MUEsxo0US9OZlvb3HseK,spotify:track:06MUEsxo0US9OZlvb3HseK,https://api.spotify.com/v1/tracks/06MUEsxo0US9OZlvb3HseK,https://api.spotify.com/v1/audio-analysis/06MUEsxo0US9OZlvb3HseK,208907,4
minnie riperton,you take my breath away,0.544,0.575,6,-10.182,1,0.046,0.633,0.233,0.111,0.906,80.413,audio_features,5HgqSYuyxPk3Cl5koib0Fm,spotify:track:5HgqSYuyxPk3Cl5koib0Fm,https://api.spotify.com/v1/tracks/5HgqSYuyxPk3Cl5koib0Fm,https://api.spotify.com/v1/audio-analysis/5HgqSYuyxPk3Cl5koib0Fm,273000,4
soundgarden,limo wreck,0.352,0.808,7,-4.907,1,0.0345,0.000429,0.000634,0.0996,0.236,137.875,audio_features,2rLAx6mTzaTYd0DborfvV0,spotify:track:2rLAx6mTzaTYd0DborfvV0,https://api.spotify.com/v1/tracks/2rLAx6mTzaTYd0DborfvV0,https://api.spotify.com/v1/audio-analysis/2rLAx6mTzaTYd0DborfvV0,347987,3
gregg allman,evidence of love,0.672,0.463,9,-13.639,0,0.0277,0.315,0.0,0.127,0.548,104.616,audio_features,0O2XJ04XssWuXGpzy1iRiX,spotify:track:0O2XJ04XssWuXGpzy1iRiX,https://api.spotify.com/v1/tracks/0O2XJ04XssWuXGpzy1iRiX,https://api.spotify.com/v1/audio-analysis/0O2XJ04XssWuXGpzy1iRiX,274000,4
gene clark,with tomorrow,0.541,0.205,2,-15.437,1,0.0345,0.951,0.803,0.107,0.58,135.477,audio_features,2aqJD8HkfHyLloEKRVDFHi,spotify:track:2aqJD8HkfHyLloEKRVDFHi,https://api.spotify.com/v1/tracks/2aqJD8HkfHyLloEKRVDFHi,https://api.spotify.com/v1/audio-analysis/2aqJD8HkfHyLloEKRVDFHi,145600,4
john fogerty,lookin' out my back door,0.685,0.921,5,-5.146,1,0.0952,0.206,0.000751,0.839,0.598,109.31,audio_features,5e5CbyPItN2gyhcFToi1y9,spotify:track:5e5CbyPItN2gyhcFToi1y9,https://api.spotify.com/v1/tracks/5e5CbyPItN2gyhcFToi1y9,https://api.spotify.com/v1/audio-analysis/5e5CbyPItN2gyhcFToi1y9,168240,4
genesis,mama,0.556,0.769,9,-10.536,1,0.0422,0.289,0.502,0.793,0.635,82.898,audio_features,6kIwzLSiQU51taaaZ9zWSE,spotify:track:6kIwzLSiQU51taaaZ9zWSE,https://api.spotify.com/v1/tracks/6kIwzLSiQU51taaaZ9zWSE,https://api.spotify.com/v1/audio-analysis/6kIwzLSiQU51taaaZ9zWSE,410347,4
electric light orchestra,eldorado finale,0.245,0.625,4,-11.481,0,0.0402,0.362,0.661,0.202,0.103,147.847,audio_features,1KsHHH78Qst3vcg1GSvMKv,spotify:track:1KsHHH78Qst3vcg1GSvMKv,https://api.spotify.com/v1/tracks/1KsHHH78Qst3vcg1GSvMKv,https://api.spotify.com/v1/audio-analysis/1KsHHH78Qst3vcg1GSvMKv,88867,4
xscape,who can i run to,0.71,0.545,4,-9.599,1,0.0588,0.483,0.0,0.0644,0.632,140.233,audio_features,0wdaPticLmmqJdhgLDJ9zI,spotify:track:0wdaPticLmmqJdhgLDJ9zI,https://api.spotify.com/v1/tracks/0wdaPticLmmqJdhgLDJ9zI,https://api.spotify.com/v1/audio-analysis/0wdaPticLmmqJdhgLDJ9zI,216333,4
ulver,lost in moments,0.423,0.558,6,-10.109,0,0.0449,0.0184,0.841,0.113,0.0387,165.416,audio_features,09dDCafsdztHE4gIADZmZ6,spotify:track:09dDCafsdztHE4gIADZmZ6,https://api.spotify.com/v1/tracks/09dDCafsdztHE4gIADZmZ6,https://api.spotify.com/v1/audio-analysis/09dDCafsdztHE4gIADZmZ6,437040,4
black lips,it feels alright,0.333,0.768,2,-7.626,1,0.109,0.00468,1.45e-05,0.163,0.842,151.522,audio_features,61LQKUtbSabdx3FmnosfOO,spotify:track:61LQKUtbSabdx3FmnosfOO,https://api.spotify.com/v1/tracks/61LQKUtbSabdx3FmnosfOO,https://api.spotify.com/v1/audio-analysis/61LQKUtbSabdx3FmnosfOO,169360,4
the righteous brothers,(you're my) soul and inspiration,0.48,0.416,10,-11.692,1,0.0847,0.77,0.000681,0.966,0.428,93.701,audio_features,7ES3QjxzmFKMJWt90giLsv,spotify:track:7ES3QjxzmFKMJWt90giLsv,https://api.spotify.com/v1/tracks/7ES3QjxzmFKMJWt90giLsv,https://api.spotify.com/v1/audio-analysis/7ES3QjxzmFKMJWt90giLsv,206107,4
lester flatt,wait for the sunshine,0.627,0.52,5,-12.237,1,0.0494,0.413,0.0,0.359,0.916,124.936,audio_features,1dTGaQhVkA8UqTwjOLZyg8,spotify:track:1dTGaQhVkA8UqTwjOLZyg8,https://api.spotify.com/v1/tracks/1dTGaQhVkA8UqTwjOLZyg8,https://api.spotify.com/v1/audio-analysis/1dTGaQhVkA8UqTwjOLZyg8,116533,4
dan seals,headin' west,0.674,0.586,7,-12.056,1,0.0305,0.24,0.0,0.201,0.93,127.242,audio_features,2mLXmJqQd7mrdvA7tg9Sf5,spotify:track:2mLXmJqQd7mrdvA7tg9Sf5,https://api.spotify.com/v1/tracks/2mLXmJqQd7mrdvA7tg9Sf5,https://api.spotify.com/v1/audio-analysis/2mLXmJqQd7mrdvA7tg9Sf5,185040,4
oscar peterson,i was doing all right,0.667,0.104,6,-25.623,1,0.041,0.947,0.917,0.103,0.31,113.644,audio_features,1NYi3ZFXJ70AS5JeTMTjOP,spotify:track:1NYi3ZFXJ70AS5JeTMTjOP,https://api.spotify.com/v1/tracks/1NYi3ZFXJ70AS5JeTMTjOP,https://api.spotify.com/v1/audio-analysis/1NYi3ZFXJ70AS5JeTMTjOP,170345,4
linval thompson,jah jah is the conqueror,0.781,0.653,11,-5.835,0,0.265,0.0841,0.000323,0.094,0.859,153.338,audio_features,7mEEngQNeIP0cZbFiycwfH,spotify:track:7mEEngQNeIP0cZbFiycwfH,https://api.spotify.com/v1/tracks/7mEEngQNeIP0cZbFiycwfH,https://api.spotify.com/v1/audio-analysis/7mEEngQNeIP0cZbFiycwfH,178760,4
willie nelson,medley,0.561,0.022,9,-22.575,1,0.0482,0.904,0.00336,0.0932,0.369,147.02,audio_features,0Pbswf0Ou38MzQxuoBUnKL,spotify:track:0Pbswf0Ou38MzQxuoBUnKL,https://api.spotify.com/v1/tracks/0Pbswf0Ou38MzQxuoBUnKL,https://api.spotify.com/v1/audio-analysis/0Pbswf0Ou38MzQxuoBUnKL,94733,3
george strait,is it already time,0.565,0.334,4,-13.593,1,0.0258,0.379,0.000529,0.111,0.352,138.129,audio_features,7yoQtjrMCsrS4KafkYdo8h,spotify:track:7yoQtjrMCsrS4KafkYdo8h,https://api.spotify.com/v1/tracks/7yoQtjrMCsrS4KafkYdo8h,https://api.spotify.com/v1/audio-analysis/7yoQtjrMCsrS4KafkYdo8h,169133,4
kasabian,shoot the runner,0.51,0.804,7,-4.158,1,0.108,0.000482,0.0309,0.319,0.54,131.157,audio_features,6lhiYqlBsafMe1eGoTEbC4,spotify:track:6lhiYqlBsafMe1eGoTEbC4,https://api.spotify.com/v1/tracks/6lhiYqlBsafMe1eGoTEbC4,https://api.spotify.com/v1/audio-analysis/6lhiYqlBsafMe1eGoTEbC4,207373,4
radiohead,sulk,0.105,0.635,7,-7.4,1,0.0455,0.00403,0.24,0.106,0.671,191.805,audio_features,1elQc2QcyuBkI8FUIbNvcy,spotify:track:1elQc2QcyuBkI8FUIbNvcy,https://api.spotify.com/v1/tracks/1elQc2QcyuBkI8FUIbNvcy,https://api.spotify.com/v1/audio-analysis/1elQc2QcyuBkI8FUIbNvcy,222960,3
earl thomas conley,i have loved you girl (but not like this before),0.553,0.431,4,-12.39,1,0.0301,0.617,0.000161,0.268,0.427,142.027,audio_features,60aTKuTc0PRPyD0X08N0G6,spotify:track:60aTKuTc0PRPyD0X08N0G6,https://api.spotify.com/v1/tracks/60aTKuTc0PRPyD0X08N0G6,https://api.spotify.com/v1/audio-analysis/60aTKuTc0PRPyD0X08N0G6,157413,4
confederate railroad,summer in dixie,0.525,0.481,0,-10.549,1,0.0271,0.303,6.94e-05,0.0864,0.31,138.977,audio_features,0G5dEjJMzWwPmV43O7GgQM,spotify:track:0G5dEjJMzWwPmV43O7GgQM,https://api.spotify.com/v1/tracks/0G5dEjJMzWwPmV43O7GgQM,https://api.spotify.com/v1/audio-analysis/0G5dEjJMzWwPmV43O7GgQM,181507,3
mavado,messiah,0.645,0.694,0,-6.535,0,0.386,0.0959,0.0,0.191,0.838,125.729,audio_features,5LZeYIkOIvhNTDPzQdIN56,spotify:track:5LZeYIkOIvhNTDPzQdIN56,https://api.spotify.com/v1/tracks/5LZeYIkOIvhNTDPzQdIN56,https://api.spotify.com/v1/audio-analysis/5LZeYIkOIvhNTDPzQdIN56,179400,5
eli young band,home,0.503,0.671,1,-5.658,0,0.0272,0.138,0.000951,0.165,0.237,138.063,audio_features,0v6dMB9WJHWcRjmQ7SWpmF,spotify:track:0v6dMB9WJHWcRjmQ7SWpmF,https://api.spotify.com/v1/tracks/0v6dMB9WJHWcRjmQ7SWpmF,https://api.spotify.com/v1/audio-analysis/0v6dMB9WJHWcRjmQ7SWpmF,223600,4
miri ben-ari,miss melody,0.758,0.561,6,-9.037,0,0.306,0.275,0.0,0.0988,0.564,89.961,audio_features,4rpytyjoEm9dTpyewZ6Vas,spotify:track:4rpytyjoEm9dTpyewZ6Vas,https://api.spotify.com/v1/tracks/4rpytyjoEm9dTpyewZ6Vas,https://api.spotify.com/v1/audio-analysis/4rpytyjoEm9dTpyewZ6Vas,229893,4
parov stelar trio,doctor foo,0.885,0.715,0,-5.44,0,0.065,0.535,0.126,0.333,0.443,120.026,audio_features,0fEHUeKKmqWd3GGiG7hz0X,spotify:track:0fEHUeKKmqWd3GGiG7hz0X,https://api.spotify.com/v1/tracks/0fEHUeKKmqWd3GGiG7hz0X,https://api.spotify.com/v1/audio-analysis/0fEHUeKKmqWd3GGiG7hz0X,185840,4
willie nelson,in the jailhouse now,0.497,0.797,2,-9.354,1,0.103,0.561,0.000583,0.0523,0.908,157.604,audio_features,5cUG3INGfyCTjamjuZyU3Q,spotify:track:5cUG3INGfyCTjamjuZyU3Q,https://api.spotify.com/v1/tracks/5cUG3INGfyCTjamjuZyU3Q,https://api.spotify.com/v1/audio-analysis/5cUG3INGfyCTjamjuZyU3Q,129560,4
josh turner,south carolina low country,0.693,0.625,10,-8.423,1,0.0289,0.401,0.00472,0.0766,0.501,116.36,audio_features,0Jcw5iId8lvWD2kufa7rgZ,spotify:track:0Jcw5iId8lvWD2kufa7rgZ,https://api.spotify.com/v1/tracks/0Jcw5iId8lvWD2kufa7rgZ,https://api.spotify.com/v1/audio-analysis/0Jcw5iId8lvWD2kufa7rgZ,288533,4
ratt,lack of communication,0.63,0.913,7,-9.009,0,0.0897,0.00552,0.0,0.18,0.543,146.796,audio_features,3HbxkSkG6ifySM3R13vppN,spotify:track:3HbxkSkG6ifySM3R13vppN,https://api.spotify.com/v1/tracks/3HbxkSkG6ifySM3R13vppN,https://api.spotify.com/v1/audio-analysis/3HbxkSkG6ifySM3R13vppN,234373,4
joe bataan,call my name,0.699,0.754,9,-6.51,0,0.0323,0.119,0.464,0.237,0.737,110.969,audio_features,5aQReUTfm5eKl2pIvkEMF0,spotify:track:5aQReUTfm5eKl2pIvkEMF0,https://api.spotify.com/v1/tracks/5aQReUTfm5eKl2pIvkEMF0,https://api.spotify.com/v1/audio-analysis/5aQReUTfm5eKl2pIvkEMF0,280547,4
imagine dragons,my fault,0.596,0.814,7,-6.226,1,0.0392,0.113,0.0195,0.112,0.519,108.51,audio_features,5WZn6AJc3D8xM58UqPlco9,spotify:track:5WZn6AJc3D8xM58UqPlco9,https://api.spotify.com/v1/tracks/5WZn6AJc3D8xM58UqPlco9,https://api.spotify.com/v1/audio-analysis/5WZn6AJc3D8xM58UqPlco9,175333,4
bombino,amidinine,0.432,0.862,6,-6.088,0,0.0701,0.137,0.015,0.316,0.699,83.005,audio_features,0JRBZ5RZGLhZKUoDIgaxQc,spotify:track:0JRBZ5RZGLhZKUoDIgaxQc,https://api.spotify.com/v1/tracks/0JRBZ5RZGLhZKUoDIgaxQc,https://api.spotify.com/v1/audio-analysis/0JRBZ5RZGLhZKUoDIgaxQc,268640,4
gene vincent & his blue caps,i sure miss you,0.544,0.361,4,-10.695,1,0.0348,0.507,0.0,0.0825,0.466,92.98,audio_features,4Vu66todGkLDCZIb7GptGC,spotify:track:4Vu66todGkLDCZIb7GptGC,https://api.spotify.com/v1/tracks/4Vu66todGkLDCZIb7GptGC,https://api.spotify.com/v1/audio-analysis/4Vu66todGkLDCZIb7GptGC,158440,4
muse,butterflies and hurricanes,0.42,0.691,9,-8.56,1,0.0501,0.31,0.0427,0.109,0.0383,115.326,audio_features,0xJLcjd0gaZct43xG1UlXS,spotify:track:0xJLcjd0gaZct43xG1UlXS,https://api.spotify.com/v1/tracks/0xJLcjd0gaZct43xG1UlXS,https://api.spotify.com/v1/audio-analysis/0xJLcjd0gaZct43xG1UlXS,301733,4
wailing souls,baby come rock,0.753,0.409,11,-12.842,1,0.0863,0.117,0.0,0.36,0.779,74.679,audio_features,6y2ihH7ViNkCT2fuZgQtAJ,spotify:track:6y2ihH7ViNkCT2fuZgQtAJ,https://api.spotify.com/v1/tracks/6y2ihH7ViNkCT2fuZgQtAJ,https://api.spotify.com/v1/audio-analysis/6y2ihH7ViNkCT2fuZgQtAJ,203493,4
xavier rudd,guku,0.605,0.666,10,-10.51,0,0.0473,0.389,0.376,0.174,0.0666,136.571,audio_features,4tfdiZcsd3IFoSAoE2UyFN,spotify:track:4tfdiZcsd3IFoSAoE2UyFN,https://api.spotify.com/v1/tracks/4tfdiZcsd3IFoSAoE2UyFN,https://api.spotify.com/v1/audio-analysis/4tfdiZcsd3IFoSAoE2UyFN,252280,4
guru's jazzmatazz,keep your worries,0.734,0.544,11,-4.786,0,0.194,0.42,0.0,0.0975,0.669,86.617,audio_features,2iYM4CGkoTfsLw9MI5K1AC,spotify:track:2iYM4CGkoTfsLw9MI5K1AC,https://api.spotify.com/v1/tracks/2iYM4CGkoTfsLw9MI5K1AC,https://api.spotify.com/v1/audio-analysis/2iYM4CGkoTfsLw9MI5K1AC,298267,4
phish,nothing,0.58,0.575,10,-13.858,1,0.029,0.337,0.00104,0.787,0.719,142.834,audio_features,7KMx1k661KcioG7rXXwGON,spotify:track:7KMx1k661KcioG7rXXwGON,https://api.spotify.com/v1/tracks/7KMx1k661KcioG7rXXwGON,https://api.spotify.com/v1/audio-analysis/7KMx1k661KcioG7rXXwGON,334187,4
frankie valli,in my eyes,0.37,0.537,11,-8.763,1,0.0329,0.116,1.47e-06,0.0955,0.219,129.874,audio_features,0CBC8pizD36uxnPEAXuCxP,spotify:track:0CBC8pizD36uxnPEAXuCxP,https://api.spotify.com/v1/tracks/0CBC8pizD36uxnPEAXuCxP,https://api.spotify.com/v1/audio-analysis/0CBC8pizD36uxnPEAXuCxP,267440,4
cortex,devil's dance,0.648,0.853,0,-8.44,1,0.0412,0.0681,0.433,0.281,0.807,145.917,audio_features,5wwbisug2fesWvFQFIJnIt,spotify:track:5wwbisug2fesWvFQFIJnIt,https://api.spotify.com/v1/tracks/5wwbisug2fesWvFQFIJnIt,https://api.spotify.com/v1/audio-analysis/5wwbisug2fesWvFQFIJnIt,148693,4
madonna,open your heart,0.656,0.899,5,-5.039,1,0.0565,0.0261,0.0,0.0936,0.865,113.239,audio_features,3kme5Qos8h04yrKxsgur79,spotify:track:3kme5Qos8h04yrKxsgur79,https://api.spotify.com/v1/tracks/3kme5Qos8h04yrKxsgur79,https://api.spotify.com/v1/audio-analysis/3kme5Qos8h04yrKxsgur79,229280,4
orchestral manoeuvres in the dark,so in love,0.599,0.805,5,-7.07,1,0.0277,0.0863,0.0013,0.566,0.962,120.049,audio_features,1D2QnxvMOac95EG9C0KbsJ,spotify:track:1D2QnxvMOac95EG9C0KbsJ,https://api.spotify.com/v1/tracks/1D2QnxvMOac95EG9C0KbsJ,https://api.spotify.com/v1/audio-analysis/1D2QnxvMOac95EG9C0KbsJ,209360,4
young thug,digits,0.769,0.632,10,-4.228,0,0.0537,0.0325,0.0,0.116,0.294,131.932,audio_features,4cg1yakyRSIOjxKM2I7J1q,spotify:track:4cg1yakyRSIOjxKM2I7J1q,https://api.spotify.com/v1/tracks/4cg1yakyRSIOjxKM2I7J1q,https://api.spotify.com/v1/audio-analysis/4cg1yakyRSIOjxKM2I7J1q,176387,4
ranking joe,spread propaganga,0.863,0.556,1,-10.478,1,0.0737,0.259,0.0,0.125,0.953,136.89,audio_features,21dZ26p1ohsmj7r2Pptekc,spotify:track:21dZ26p1ohsmj7r2Pptekc,https://api.spotify.com/v1/tracks/21dZ26p1ohsmj7r2Pptekc,https://api.spotify.com/v1/audio-analysis/21dZ26p1ohsmj7r2Pptekc,192720,4
bone thugs-n-harmony,cause i'm bone bone,0.916,0.664,9,-8.506,0,0.133,0.395,2.06e-06,0.143,0.839,98.994,audio_features,5rpkouIWAWMfIAJUHBg8q4,spotify:track:5rpkouIWAWMfIAJUHBg8q4,https://api.spotify.com/v1/tracks/5rpkouIWAWMfIAJUHBg8q4,https://api.spotify.com/v1/audio-analysis/5rpkouIWAWMfIAJUHBg8q4,196519,4
